año,mes,cod_depto,cod_muni,obj_tra,clase_suelo,modalidad,destino,tipo_vivi,VIS_NVIS,estrato,area,unidades,licencias,cobertura
2005,01,20,001,1,1,1,1,2,2,4,271,3,1,77
2005,01,20,001,1,1,1,1,2,2,5,474,2,1,77
2005,01,20,001,1,1,1,5,0,0,0,855,0,3,77
2005,01,20,001,1,1,1,6,0,0,0,977,0,1,77
2005,01,20,001,2,1,2,1,1,2,2,72,1,1,77
2005,01,20,001,2,1,2,1,1,2,4,164,1,1,77
2005,01,20,001,2,1,2,1,2,2,3,121,2,1,77
2005,01,20,001,2,1,2,3,0,0,0,49,0,1,77
2005,01,20,001,2,1,2,5,0,0,0,661,0,2,77
2005,01,20,001,2,2,2,1,2,2,4,81,1,1,77
2005,01,23,001,1,1,1,1,1,1,1,875,19,2,77
2005,01,23,001,1,1,1,1,1,1,2,703,13,1,77
2005,01,23,001,1,1,1,1,1,2,2,507,5,5,77
2005,01,23,001,1,1,1,1,1,2,3,476,3,3,77
2005,01,23,001,1,1,1,1,1,2,4,9812,81,4,77
2005,01,23,001,1,1,1,1,1,2,6,338,1,1,77
2005,01,23,001,1,1,1,1,2,2,3,182,3,1,77
2005,01,23,001,1,1,1,1,2,2,4,239,1,0,77
2005,01,23,001,1,1,1,5,0,0,0,250,0,1,77
2005,01,23,001,1,1,1,7,0,0,0,2412,0,1,77
2005,01,23,001,1,1,1,8,0,0,0,2505,0,2,77
2005,01,23,001,1,1,1,11,0,0,0,78,0,0,77
2005,01,23,001,1,1,2,1,1,2,2,44,0,1,77
2005,01,23,001,1,1,2,1,1,2,3,90,1,1,77
2005,01,23,001,1,1,2,5,0,0,0,91,0,1,77
2005,01,23,001,1,1,2,7,0,0,0,540,0,1,77
2005,01,25,175,1,1,1,1,1,2,3,406,4,3,77
2005,01,25,175,1,1,1,1,1,2,4,963,8,2,77
2005,01,25,175,1,3,1,1,1,2,2,157,1,1,77
2005,01,25,175,1,3,1,1,1,2,3,691,4,3,77
2005,01,25,175,1,3,1,1,1,2,5,349,2,2,77
2005,01,25,175,1,3,1,1,1,2,6,1388,6,5,77
2005,01,25,269,1,1,1,1,1,2,2,448,3,3,77
2005,01,25,269,1,1,1,1,1,2,3,937,8,8,77
2005,01,25,269,1,1,1,1,1,2,4,405,3,3,77
2005,01,25,269,1,1,1,5,0,0,0,639,0,1,77
2005,01,25,269,1,1,2,1,1,2,3,94,0,1,77
2005,01,25,269,2,1,2,1,1,2,2,272,0,3,77
2005,01,25,269,2,1,2,1,1,2,3,40,0,1,77
2005,01,25,290,1,1,1,1,1,1,2,232,2,2,77
2005,01,25,290,1,1,1,1,1,2,1,147,1,1,77
2005,01,25,290,1,1,1,1,1,2,3,890,9,7,77
